cps19_gender,cps19_yob,cps19_province,cps19_education,cps19_interest_elxn_1,cps19_v_likely,cps19_votechoice
2,32,22,9,10,1,3
2,37,14,7,8,1,9
1,70,22,9,8,2,1
1,41,24,5,8,1,2
2,39,15,9,10,1,5
2,69,24,7,7,1,3
2,58,22,9,6,NA,NA
2,35,22,6,10,1,1
2,53,14,7,10,1,2
2,36,16,9,5,1,1
2,31,22,9,6,1,3
2,36,18,7,10,1,2
1,51,14,10,8,1,1
1,35,25,7,8,1,1
2,24,24,7,9,1,1
1,45,24,9,10,1,2
1,44,15,6,NA,1,9
1,37,25,9,8,1,2
1,48,24,5,9,NA,NA
2,54,22,9,5,2,9
1,31,20,9,NA,2,9
2,53,22,8,5,3,NA
2,62,22,10,7,1,2
1,75,24,4,2,3,NA
1,43,23,7,8,1,5
1,32,15,6,8,1,2
1,33,14,9,9,1,2
1,41,24,10,6,2,2
1,72,22,9,9,1,1
1,46,22,9,7,3,NA
1,37,22,8,9,1,1
1,39,14,9,10,1,2
2,71,24,9,6,1,2
1,27,22,8,9,1,2
2,31,22,4,NA,1,2
1,33,22,9,7,1,9
2,24,24,5,8,1,9
2,51,24,7,8,1,1
2,38,22,5,8,1,2
1,53,20,11,5,1,2
2,46,22,9,4,1,1
2,45,24,5,7,2,5
2,42,22,4,6,1,5
2,59,16,7,10,1,1
1,46,24,10,10,1,4
2,66,14,9,10,1,2
2,34,15,6,8,1,2
2,52,24,6,8,1,1
1,32,15,10,10,1,1
2,47,22,5,10,1,1
1,32,20,8,8,1,1
2,35,24,5,7,1,1
2,72,24,9,5,2,1
2,60,16,7,5,1,5
2,72,24,9,7,1,9
1,31,22,6,8,2,5
2,65,22,7,8,1,1
1,66,17,9,10,1,1
1,44,14,9,2,2,2
2,72,22,9,3,1,2
2,32,24,5,10,1,1
2,56,14,10,6,NA,NA
1,50,22,7,8,1,5
2,61,22,9,6,2,2
1,39,14,8,10,1,1
1,26,22,8,8,1,1
1,46,16,6,9,1,2
1,60,16,11,7,1,1
2,40,16,5,7,1,2
2,46,15,10,7,1,1
2,54,24,6,5,1,7
2,40,24,5,7,1,9
1,41,24,7,10,1,2
1,37,22,6,7,1,9
1,33,22,9,10,1,2
1,49,22,9,6,1,2
1,28,22,5,9,1,3
2,44,24,6,4,2,2
2,63,25,5,3,1,9
2,40,24,11,8,1,1
1,19,22,10,10,1,2
1,37,22,10,7,1,3
2,61,22,7,7,1,9
1,37,22,8,8,1,2
2,39,22,10,4,1,9
1,35,22,7,10,1,2
2,28,24,7,NA,1,2
2,61,22,5,5,4,NA
2,1,22,9,9,1,9
1,19,22,4,10,1,2
2,30,20,4,2,6,NA
2,70,22,10,4,3,NA
1,63,22,9,7,1,2
1,48,20,6,5,1,5
1,45,14,11,10,1,9
2,51,22,9,8,1,1
1,19,22,8,10,1,2
1,34,22,12,10,1,3
1,27,22,8,10,1,1
2,70,24,5,NA,1,9
2,47,22,9,10,1,2
1,43,22,5,6,1,9
1,16,22,11,8,1,9
1,31,22,5,5,1,9
1,20,22,7,9,1,2
1,40,15,6,1,4,NA
1,75,22,9,9,1,1
1,64,22,9,8,1,1
2,40,22,5,8,1,2
1,31,22,10,5,1,7
2,42,22,9,8,1,2
2,51,22,9,6,1,5
1,37,24,9,7,1,1
2,81,22,5,8,1,1
2,74,22,9,10,1,5
1,36,24,6,8,1,2
1,38,22,9,10,1,2
1,43,17,9,9,1,9
2,35,24,6,8,1,4
1,34,22,7,9,1,1
2,40,22,7,10,1,1
1,57,22,9,9,1,3
1,37,24,7,7,1,9
1,42,20,7,8,1,3
1,45,24,9,8,1,2
2,42,24,5,6,2,9
1,26,22,7,8,1,1
1,58,22,6,6,1,3
1,44,22,5,7,2,3
2,64,22,5,9,2,5
1,27,22,11,9,1,2
2,58,24,3,2,2,1
1,64,22,5,6,1,1
2,50,22,9,8,1,2
1,27,24,7,7,1,4
2,60,22,10,5,1,9
1,18,22,10,8,1,1
2,59,25,9,8,NA,NA
1,20,22,10,9,1,9
1,45,22,6,9,1,5
2,29,22,11,8,1,3
1,58,22,9,6,1,1
1,68,14,9,9,2,2
2,23,22,7,7,1,5
1,43,24,9,8,1,4
1,44,22,9,10,1,1
1,40,22,9,7,1,1
1,36,18,9,8,2,2
2,77,24,5,7,1,5
2,32,22,4,10,1,9
1,72,22,10,8,2,1
1,28,22,9,9,1,1
2,36,24,5,5,1,9
2,60,22,10,8,1,2
2,22,22,10,6,1,1
1,71,24,8,6,1,5
1,41,24,5,6,1,2
1,61,22,9,10,1,2
2,55,15,9,5,2,1
2,67,15,7,5,1,5
2,34,15,7,3,6,NA
2,53,24,8,8,1,2
3,32,17,5,10,2,2
2,65,24,9,NA,1,9
1,30,22,7,10,1,3
1,33,22,7,8,NA,NA
1,57,22,5,10,1,2
1,65,24,4,2,4,NA
2,38,24,9,8,1,2
1,59,22,6,8,1,3
2,32,22,5,8,1,1
2,38,24,9,7,1,2
2,67,22,6,7,2,1
1,65,24,5,9,1,3
1,21,17,7,9,1,2
1,54,22,10,8,3,NA
1,66,23,5,7,1,2
1,53,22,11,7,1,1
2,26,24,5,10,1,4
1,54,22,9,10,1,2
2,53,24,10,7,1,5
1,43,24,8,2,3,NA
1,64,14,4,4,1,1
2,70,22,11,10,1,1
2,48,22,10,7,1,1
2,26,22,5,10,1,2
1,29,22,9,10,1,1
2,32,24,8,2,1,9
2,52,24,9,9,1,4
2,25,22,9,8,2,9
1,35,20,6,NA,1,2
2,14,22,9,NA,1,1
1,63,22,3,6,4,NA
1,27,22,9,6,1,1
1,37,22,6,4,3,NA
2,28,22,5,8,2,2
1,46,24,9,2,2,5
1,50,22,7,5,3,NA
1,39,23,10,6,1,1
1,56,22,10,2,1,6
1,60,24,9,7,2,9
1,44,17,7,9,1,9
2,66,17,7,2,2,9
1,41,22,7,7,1,9
2,43,22,7,10,1,2
1,69,18,6,9,1,1
1,41,22,9,6,1,3
2,37,22,9,9,1,1
1,39,22,6,8,1,5
2,46,22,6,7,2,9
1,33,22,6,10,1,9
1,28,22,6,7,1,1
1,47,22,5,7,1,2
1,70,24,7,8,1,4
1,77,14,9,6,1,2
1,41,18,9,10,1,1
2,40,24,7,7,1,9
1,27,22,4,9,1,1
2,41,24,8,8,1,9
2,31,24,8,7,1,1
2,17,22,8,7,1,5
2,43,24,9,7,1,1
1,42,24,9,9,1,4
2,50,22,10,10,1,1
2,27,18,6,8,1,2
2,63,24,9,4,2,9
2,48,24,6,NA,1,2
1,21,20,5,8,1,2
2,30,22,9,5,1,1
2,1,22,11,7,1,1
1,35,24,6,9,1,2
2,36,17,7,10,2,2
2,28,22,7,8,1,5
2,61,24,9,8,1,1
1,27,22,11,10,1,9
1,65,14,7,7,2,2
1,33,22,9,9,1,1
2,31,22,9,10,1,2
2,39,22,6,5,2,1
2,51,22,9,5,1,9
2,44,22,9,9,1,2
2,68,22,9,7,1,1
1,80,14,4,8,1,5
1,37,22,7,9,1,1
2,25,24,7,8,1,4
2,42,24,9,NA,2,5
2,24,22,7,10,1,2
2,51,24,9,10,1,9
2,41,24,8,6,1,1
2,40,24,5,8,1,2
2,44,24,6,5,1,1
2,39,22,9,8,1,1
2,39,22,10,9,1,9
2,39,22,11,10,1,1
2,32,22,5,9,1,1
1,38,24,7,5,1,6
1,61,22,7,6,1,2
2,62,24,5,6,2,2
2,55,24,7,6,1,2
2,50,17,7,9,1,1
1,29,18,6,6,2,1
1,55,24,10,9,1,5
2,30,24,10,9,1,5
1,51,22,9,9,1,1
2,64,22,6,7,6,NA
1,51,22,8,8,1,5
2,46,22,9,7,1,2
2,49,24,5,5,1,2
2,39,22,7,10,1,1
1,44,22,9,10,1,2
2,47,24,7,7,1,9
1,49,22,7,8,2,9
2,44,22,8,3,1,7
1,36,22,7,6,1,1
2,53,22,8,0,1,9
2,56,22,7,8,1,1
1,48,15,6,10,1,2
1,35,22,7,9,1,3
2,55,15,4,1,3,NA
3,52,22,7,8,1,1
1,43,24,7,10,1,2
1,47,24,10,7,1,1
1,53,22,7,6,1,3
2,18,22,5,10,1,2
2,46,22,9,8,1,3
2,50,18,10,9,1,1
2,53,22,7,2,NA,NA
2,48,22,9,9,1,9
1,44,23,5,2,3,NA
2,61,24,4,5,3,NA
2,79,24,8,7,2,9
2,30,22,6,7,2,3
2,42,24,7,8,1,1
1,40,22,10,9,1,5
1,75,20,10,9,1,1
1,42,24,9,5,1,9
1,39,22,6,7,1,2
1,28,24,9,7,1,5
1,61,24,8,10,1,2
2,48,18,6,NA,6,NA
2,44,22,10,7,1,1
2,35,18,8,6,6,NA
1,46,22,5,4,1,9
2,52,18,7,2,2,9
2,64,22,9,5,2,5
2,29,24,6,6,1,2
2,28,20,5,0,3,NA
2,51,24,5,10,1,5
1,48,24,11,6,2,2
1,41,22,6,9,1,5
1,69,16,9,7,1,2
2,58,24,9,7,1,6
2,24,22,5,NA,2,2
1,51,22,10,6,1,2
2,52,22,9,7,1,1
1,28,22,7,10,1,2
2,27,22,10,10,1,3
1,71,22,3,8,1,3
2,40,22,9,9,1,1
2,25,22,7,8,2,9
1,68,22,10,9,1,5
1,38,22,9,9,1,9
2,81,22,5,8,1,1
1,62,22,10,7,1,9
1,39,24,9,7,1,4
2,38,22,8,8,1,2
1,56,22,9,5,2,9
2,66,15,5,7,1,3
1,76,24,9,7,1,1
1,38,20,4,NA,2,9
1,69,24,6,8,1,5
1,66,24,6,8,2,1
1,52,22,9,9,1,1
1,36,22,6,9,1,3
1,68,14,7,10,1,1
2,69,24,10,3,2,9
1,36,24,5,7,1,2
1,24,22,9,9,1,1
2,25,18,7,3,1,1
2,32,22,8,7,1,1
2,43,22,7,9,1,9
2,53,22,7,10,1,1
2,69,22,8,8,2,1
2,82,22,5,NA,5,NA
1,31,20,9,10,1,1
2,72,22,6,4,2,3
1,61,22,4,8,1,5
1,39,22,5,9,1,2
2,55,24,11,7,1,2
1,19,22,6,10,1,1
2,53,22,4,8,NA,NA
2,69,16,7,7,1,9
2,32,18,7,8,1,2
2,41,24,8,NA,1,1
2,64,22,9,6,1,9
2,41,22,9,5,1,9
1,31,22,6,8,1,2
1,36,22,5,4,1,2
2,46,22,9,7,1,3
1,66,22,10,9,1,3
2,49,22,9,10,1,9
2,30,22,9,7,1,1
2,79,22,8,6,3,NA
1,65,22,5,7,1,2
1,29,22,7,8,1,1
2,37,20,7,0,4,NA
1,61,24,5,6,2,1
2,52,18,7,NA,1,2
2,61,24,7,8,1,1
2,61,22,7,5,2,1
1,49,24,9,8,1,2
2,71,24,6,4,4,NA
2,36,22,9,10,1,1
2,44,22,9,9,1,2
1,37,24,9,10,1,4
1,28,22,6,9,1,1
1,82,24,6,NA,6,NA
2,18,20,8,7,1,1
2,51,24,5,6,2,1
1,65,22,9,9,1,3
2,50,22,8,5,2,1
1,34,22,4,8,2,1
1,57,24,5,2,2,3
2,68,20,7,2,1,5
1,31,22,6,10,1,2
2,33,18,9,3,2,3
2,52,24,6,7,1,9
2,44,22,7,9,1,1
2,47,22,6,8,1,9
2,67,22,9,7,3,NA
2,44,24,5,2,4,NA
1,39,24,9,8,1,1
2,70,22,10,8,1,3
1,53,15,10,9,1,1
2,56,22,9,3,1,1
1,55,24,10,8,1,2
1,60,22,9,9,1,1
1,54,24,9,9,1,1
1,55,22,5,1,6,NA
1,59,24,5,7,1,3
1,43,22,5,7,1,2
1,67,22,11,10,1,1
2,33,24,7,6,1,2
2,45,24,9,7,1,1
1,25,22,9,8,1,1
2,45,22,9,8,1,1
2,81,24,7,9,1,1
2,33,22,9,7,1,2
2,32,24,5,9,1,1
1,32,14,5,5,2,2
1,60,22,9,8,1,3
1,36,24,5,4,3,NA
2,65,22,9,4,2,1
1,39,22,9,10,1,1
2,43,22,5,8,1,1
1,55,19,11,8,1,1
1,48,24,9,0,4,NA
2,70,22,10,8,1,9
2,81,22,8,3,2,1
1,55,24,8,6,1,4
2,30,22,9,7,1,5
2,45,22,7,8,1,5
1,35,24,7,10,1,1
2,56,24,10,3,2,9
1,29,22,6,5,1,9
2,38,22,9,10,1,1
2,30,22,6,9,1,3
1,64,22,9,6,1,2
2,44,24,6,7,1,2
2,28,22,10,8,1,2
2,41,24,7,6,1,4
2,48,24,6,10,1,3
2,17,22,9,8,1,9
2,38,24,5,9,1,1
1,42,22,6,5,1,1
1,66,24,5,NA,1,4
2,73,22,7,7,1,2
1,44,24,7,6,1,1
1,45,24,9,0,1,4
1,28,22,10,NA,1,3
1,45,22,7,7,3,NA
2,46,22,5,7,1,6
2,70,24,11,10,1,1
2,38,20,10,8,1,9
1,24,22,11,9,1,5
2,36,24,3,7,1,9
1,22,22,9,7,1,1
1,74,24,8,8,1,2
2,46,20,5,8,1,1
1,37,22,9,4,2,2
2,24,22,5,9,1,1
1,47,22,8,6,3,NA
1,38,24,5,9,1,1
1,58,22,9,8,1,2
1,16,15,7,3,1,5
2,56,24,8,8,1,4
1,35,22,7,9,1,1
2,36,22,5,10,1,2
1,60,17,6,2,2,3
2,47,24,9,9,1,5
1,50,22,9,8,1,2
1,29,17,9,10,1,9
1,47,22,7,8,1,2
2,71,22,10,7,NA,NA
2,51,22,10,9,1,1
2,51,24,8,3,1,9
1,31,24,5,4,2,4
1,44,22,9,9,1,2
2,36,22,6,6,3,NA
2,29,24,5,5,2,1
2,37,15,11,7,1,1
2,51,22,5,5,3,NA
1,47,22,10,10,1,2
2,46,19,4,8,1,1
2,44,24,5,9,1,4
2,30,22,5,9,1,2
2,51,22,9,8,2,1
1,33,22,10,10,1,2
1,52,24,8,6,1,9
2,47,24,5,5,1,2
2,60,24,9,6,1,1
2,25,24,10,7,1,9
1,37,22,7,10,1,2
1,62,22,9,10,1,2
1,69,24,7,3,1,4
1,63,24,9,8,1,3
2,38,24,5,4,2,9
1,48,24,10,9,1,9
2,54,22,8,7,1,3
1,53,24,5,10,1,2
1,19,22,11,9,1,2
2,57,18,7,4,3,NA
1,43,17,2,2,1,1
2,54,22,9,10,1,5
2,33,24,7,7,1,5
1,34,22,7,10,1,6
1,33,24,5,9,1,2
1,33,22,10,6,1,2
1,39,24,6,8,1,4
2,62,24,5,2,2,1
1,35,22,9,10,1,2
1,30,17,9,9,1,2
1,24,22,9,9,1,2
2,61,24,6,4,1,9
1,44,24,11,9,1,4
1,19,22,9,7,1,1
1,30,22,9,9,1,5
1,35,20,9,7,1,1
2,38,16,9,8,1,1
1,55,24,9,8,1,5
1,60,24,7,10,1,1
1,51,22,10,10,1,3
2,45,22,8,7,1,2
1,35,24,5,8,1,4
2,30,24,5,5,1,9
1,58,22,10,7,1,1
2,75,22,7,0,1,3
2,60,22,6,8,1,1
1,41,24,7,10,1,1
1,53,24,8,0,2,6
2,33,22,5,NA,2,3
1,30,18,9,2,1,2
1,27,24,6,10,1,1
2,54,22,6,NA,2,5
2,66,24,7,7,2,1
2,46,22,9,7,2,2
2,70,20,7,2,1,9
1,29,24,7,9,1,6
1,53,24,10,3,2,9
2,43,22,7,2,1,9
2,32,22,5,NA,1,9
2,43,24,6,9,1,9
2,39,22,8,10,1,9
1,56,22,5,3,2,9
1,35,22,7,10,1,1
1,54,24,9,7,2,2
1,55,22,10,10,1,1
2,58,24,9,2,6,NA
1,52,24,9,7,1,2
2,35,22,8,8,NA,NA
2,66,22,7,5,2,1
2,27,22,9,8,1,1
2,45,22,6,6,1,1
1,50,24,5,5,2,2
2,46,24,5,5,1,1
2,35,22,9,7,1,1
2,59,22,7,9,1,3
2,49,22,10,5,1,1
2,42,24,8,8,1,1
1,25,22,7,9,1,2
1,29,20,5,9,1,1
2,44,24,9,1,4,NA
1,38,24,5,7,1,1
1,24,22,9,9,1,2
1,29,24,11,5,1,2
1,12,22,9,8,1,1
2,43,22,9,8,1,9
2,49,24,9,9,1,1
1,33,22,11,10,1,2
2,25,24,5,7,2,2
3,42,21,9,9,1,9
2,59,16,5,3,3,NA
1,50,22,7,9,1,1
1,39,24,9,7,1,9
1,58,22,6,8,2,2
1,27,22,9,10,1,1
2,47,24,7,8,1,2
1,30,20,10,10,1,1
1,69,24,11,7,1,1
2,62,24,9,6,1,4
2,54,20,9,10,1,1
2,49,22,6,6,2,9
1,28,22,11,10,1,1
1,47,22,9,10,1,5
1,28,18,8,8,1,1
2,33,24,4,2,1,9
1,52,24,9,9,1,2
2,45,24,7,4,2,7
2,34,24,5,8,1,1
2,27,24,9,5,1,2
2,64,22,9,6,1,2
1,28,22,6,10,1,2
2,39,24,10,8,1,1
1,39,22,7,10,4,NA
2,43,22,8,8,1,1
1,30,22,7,10,1,2
2,37,22,4,3,1,2
1,41,20,9,10,1,2
2,55,22,9,9,1,2
2,22,20,5,3,1,2
1,60,22,9,10,1,2
2,43,22,6,2,1,2
2,56,22,5,6,1,1
1,37,25,9,2,3,NA
2,70,24,9,NA,1,5
2,54,22,10,5,2,9
2,27,22,4,2,1,5
2,34,22,9,8,1,1
2,37,22,6,6,1,5
1,54,24,9,7,1,9
2,40,22,4,7,1,3
1,32,22,10,6,2,1
2,65,22,9,8,1,1
1,30,22,11,10,1,2
1,65,24,6,7,1,5
2,60,24,5,8,1,2
2,35,24,9,9,1,1
2,58,22,5,10,1,5
1,25,22,4,10,1,1
2,37,24,7,3,1,1
2,31,20,10,9,1,3
2,24,22,7,9,1,9
2,64,17,6,9,1,1
2,46,22,4,7,1,1
1,68,24,9,10,1,1
2,67,22,5,7,2,3
2,46,24,4,3,2,9
1,38,17,8,7,1,2
2,49,24,7,6,1,4
1,34,22,10,9,1,1
2,70,22,9,9,2,2
2,58,24,6,10,1,1
1,36,22,11,3,2,9
2,41,18,5,6,1,3
2,62,22,9,6,2,2
1,69,24,8,9,1,1
1,48,22,7,5,1,5
2,64,22,7,NA,2,3
3,53,24,4,NA,1,4
2,67,17,10,9,1,1
1,23,24,8,5,1,9
1,24,24,4,8,1,1
1,64,24,5,8,2,2
1,55,24,11,6,1,9
1,43,22,8,10,1,1
2,44,22,4,3,1,3
2,28,24,6,8,1,1
2,37,22,6,8,1,1
1,58,22,9,6,2,2
2,28,20,8,10,1,1
1,31,22,9,7,4,NA
1,50,24,7,8,2,2
2,61,22,10,8,1,9
1,24,22,5,7,1,2
1,65,22,11,8,1,1
2,36,24,9,9,1,2
1,38,22,4,3,4,NA
2,65,17,9,3,6,NA
2,45,22,5,10,1,1
2,67,22,7,3,2,3
1,43,22,11,7,1,1
1,45,22,7,10,1,2
2,19,24,9,8,1,3
2,56,22,10,NA,1,1
1,73,22,9,5,3,NA
1,48,22,7,NA,2,3
2,51,22,10,7,1,1
1,39,22,8,7,1,2
2,28,22,5,8,1,1
2,63,24,5,9,1,9
2,66,14,9,8,1,2
2,46,24,5,10,1,2
1,41,24,5,10,1,9
2,1,22,9,7,2,3
2,65,24,10,8,1,4
2,55,24,9,7,1,5
2,41,22,11,9,1,3
2,33,22,6,8,1,9
2,54,24,7,7,1,4
1,48,23,9,9,1,3
1,55,22,9,7,1,5
2,29,22,9,10,1,9
1,39,22,10,7,1,5
1,48,22,10,9,NA,NA
2,53,24,6,10,1,6
2,59,24,10,9,1,1
2,59,22,6,5,1,3
2,48,22,5,8,1,2
1,61,22,11,6,2,2
1,25,22,5,9,1,2
2,35,24,5,NA,1,7
1,55,24,9,7,1,6
2,38,20,5,NA,1,9
1,49,22,9,0,1,9
2,40,22,6,10,1,1
1,27,22,7,6,1,3
2,54,22,5,5,1,5
2,41,22,9,NA,1,2
2,51,22,9,7,1,3
1,59,24,9,7,2,6
2,45,24,7,7,1,2
2,37,24,5,6,6,NA
2,41,24,5,10,1,9
2,58,22,5,8,1,9
2,63,22,7,10,1,1
1,70,24,8,7,1,4
1,65,22,11,10,NA,NA
2,48,22,7,7,1,3
2,43,22,7,10,1,1
2,44,22,8,8,1,2
2,66,15,6,9,1,3
1,34,24,9,9,1,2
2,30,24,5,8,1,9
1,48,20,5,7,2,9
2,26,24,4,3,1,1
2,35,22,6,9,1,1
2,39,22,7,8,1,9
1,48,24,7,7,1,6
1,60,24,10,8,1,3
1,33,22,7,8,1,2
2,44,22,5,NA,2,9
2,47,24,10,6,1,9
2,35,24,5,6,1,9
2,50,22,4,8,1,2
2,45,18,9,7,1,2
1,69,24,5,7,1,4
1,27,24,9,5,1,4
1,55,22,10,10,1,1
1,32,22,8,10,1,2
2,35,22,9,6,1,2
1,17,22,5,9,1,2
2,64,22,5,10,1,2
2,24,22,6,10,1,1
2,60,14,9,7,1,3
1,47,22,5,NA,3,NA
2,47,22,5,0,6,NA
1,54,24,9,5,1,5
1,78,22,7,7,1,5
2,47,18,9,10,1,2
2,30,24,7,10,1,4
2,47,22,7,8,1,2
2,35,18,7,6,2,9
2,35,24,6,4,2,9
1,29,24,4,7,1,2
2,33,22,7,2,1,9
1,45,24,8,5,1,6
2,77,23,9,10,1,5
1,47,22,6,9,1,1
1,61,20,5,9,2,9
1,28,17,11,9,1,1
1,52,22,8,7,1,1
1,30,22,9,10,1,1
2,24,22,5,7,1,9
2,55,24,9,7,1,9
2,43,22,5,6,4,NA
1,47,24,8,10,1,5
1,33,22,7,9,1,1
2,63,20,4,0,3,NA
2,43,24,8,3,6,NA
2,35,20,9,1,1,1
2,38,22,9,10,1,1
1,30,22,9,7,1,1
1,26,22,2,7,1,1
1,28,22,11,8,1,1
2,54,24,6,6,1,1
2,60,22,10,6,1,1
2,40,22,8,10,1,1
2,38,22,11,7,6,NA
2,63,24,7,4,1,3
2,43,22,11,8,1,9
1,36,22,9,10,1,1
2,33,24,6,8,1,4
1,49,22,12,9,1,2
1,59,22,9,9,1,1
2,49,22,7,5,1,1
1,58,24,5,7,3,NA
1,39,22,4,8,1,1
2,25,24,5,7,1,2
2,53,18,9,9,1,1
2,51,22,7,8,1,1
2,26,22,8,9,1,1
1,54,24,9,10,1,4
2,48,22,5,4,2,2
2,24,22,5,10,1,1
2,36,22,8,6,1,1
1,30,22,6,5,2,9
2,54,24,6,7,1,9
1,48,24,9,3,2,9
1,71,22,9,6,1,2
1,36,20,10,10,1,1
1,38,22,9,9,1,2
1,41,22,5,8,1,1
1,67,22,9,7,NA,NA
1,29,22,9,8,1,9
1,34,22,9,6,1,1
1,50,22,9,10,1,1
2,71,22,9,8,2,1
1,23,24,5,10,1,9
1,36,22,10,9,2,2
2,68,22,5,9,1,5
1,43,22,6,8,1,2
2,53,22,7,6,1,9
1,68,22,7,10,1,2
1,27,22,9,10,1,1
2,38,24,7,3,1,9
2,67,24,11,10,1,9
1,59,18,9,10,1,3
1,42,22,10,2,3,NA
1,36,17,5,NA,1,1
1,46,22,9,9,1,2
2,61,18,9,10,1,1
2,56,22,9,3,1,1
2,33,24,5,8,1,2
1,26,24,8,6,1,4
1,40,22,9,9,1,9
2,41,22,10,8,1,1
2,40,22,6,NA,1,9
1,72,18,9,6,3,NA
1,53,22,9,6,1,1
1,64,24,7,10,1,6
2,36,24,5,6,1,2
2,49,22,6,9,2,9
1,56,24,5,6,2,9
1,36,22,10,9,1,1
2,40,20,8,5,1,1
1,35,20,5,7,2,2
2,43,17,9,6,1,1
2,54,24,9,7,1,1
1,39,24,9,2,1,2
2,1,22,10,8,1,9
1,60,22,11,10,1,6
2,41,24,8,3,1,4
2,49,24,7,7,1,2
1,51,24,5,7,1,5
1,68,24,11,8,1,2
2,41,24,5,8,1,1
1,25,22,9,9,1,1
1,34,22,9,9,1,2
1,41,22,7,9,1,9
2,34,18,9,NA,1,1
2,58,22,8,9,1,2
2,60,24,9,7,1,9
2,46,24,6,8,1,9
1,30,22,10,9,1,1
2,74,24,7,6,3,NA
2,57,18,7,5,1,5
1,26,24,9,9,1,1
1,29,22,5,7,1,2
1,57,18,9,10,1,2
1,36,24,10,1,1,4
2,57,22,9,8,NA,NA
2,40,22,6,1,2,5
1,30,22,5,10,1,2
2,55,24,9,7,1,2
2,54,24,4,5,1,2
2,49,22,9,5,2,9
1,48,24,9,2,3,NA
1,55,24,5,8,1,6
1,32,24,8,8,1,4
2,56,24,7,5,1,4
2,60,24,9,5,1,4
1,66,22,11,10,1,1
1,56,22,9,10,1,1
2,54,24,7,3,2,3
1,59,24,10,10,1,4
2,36,22,6,8,1,1
1,48,14,7,4,1,9
2,67,24,6,5,1,3
2,41,24,7,NA,1,2
2,59,17,9,5,2,2
1,65,22,6,3,2,2
2,57,24,11,3,2,9
2,28,22,9,9,1,7
1,37,22,9,8,1,6
1,81,24,9,4,1,1
2,43,24,7,9,1,9
2,65,20,7,10,1,9
2,58,22,11,7,2,2
1,38,22,6,7,1,1
2,74,24,9,4,2,9
2,65,22,7,6,2,3
2,58,16,8,8,1,2
2,47,22,6,10,1,1
2,73,24,10,7,2,1
1,60,24,10,10,1,1
1,45,24,9,10,1,4
2,47,24,7,0,3,NA
2,72,24,7,6,1,9
2,66,22,7,3,1,5
